,Volume,max_price,min_price,end_price,ai_max_reliability,ai_min_reliability,ai_end_reliability
20230102,62710,59922,57628,59056,81.53,80.94,82.71
20230103,91842,71097,70675,72390,98.75,96.22,94.63
20230104,105145,68279,68185,69523,97.26,98.53,99.32
20230105,96991,69186,69100,70477,97.04,99.71,99.32
20230106,65681,69502,69370,70808,96.93,99.9,99.87
20230109,105129,70353,70054,71628,94.82,98.53,97.72
20230110,88234,72913,72190,74193,97.74,99.57,99.47
20230111,58871,73213,72439,74507,97.88,98.96,99.86
20230112,64043,73810,72926,75087,98.68,98.95,98.67
20230113,49260,73527,72697,74817,98.04,99.18,98.48
20230116,54873,73330,72525,74613,98.3,99.08,99.71
20230117,65197,73706,72839,74980,99.07,98.98,96.01
20230118,75248,71485,70999,72796,97.13,98.61,99.45
20230119,68146,72339,71712,73631,99.64,99.42,98.02
20230120,54569,71306,70851,72595,98.35,99.51,98.75
20230125,117340,70994,70589,72280,94.91,98.86,97.15
20230126,60980,73682,72832,74967,98.24,98.96,99.91
20230127,92063,74069,73143,75348,97.08,98.84,98.88
20230130,76615,75224,74115,76513,98.2,99.35,97.98
20230131,108694,74374,73405,75679,97.99,98.61,95.47
20230201,179415,71981,71423,73318,98.74,97.82,97.6
20230202,116090,70681,70370,72039,95.9,97.74,98.55
20230203,88977,72783,72096,74083,99.57,98.6,97.53
20230206,79386,71333,70878,72639,98.12,99.97,98.26
20230207,59335,70695,70350,72000,96.98,99.08,99.72
20230208,86276,71578,71069,72850,98.73,99.4,98.54
20230209,73854,71225,70795,72529,99.06,99.87,98.28
20230210,155642,70586,70259,71884,99.84,97.58,96.42
20230213,114343,68532,68457,69819,99.32,98.28,96.41
20230214,86415,67201,66849,68199,96.97,98.89,99.56
20230215,105737,68190,68072,69371,99.99,96.86,95.21
20230216,81939,66539,66045,67392,96.71,99.62,99.11
20230217,75623,67967,67814,69089,98.86,97.56,95.79
20230220,64324,66287,65746,67077,97.05,99.93,98.35
20230221,62326,67836,67668,68930,99.32,99.3,98.18
20230222,65827,67466,67199,68499,99.3,98.49,96.99
20230223,67306,66450,65951,67269,98.74,99.93,98.84
20230224,94351,66753,66326,67626,99.77,98.27,96.75
20230227,61412,65952,65330,66665,98.69,98.24,96.96
20230228,138361,65146,64354,65674,97.38,99.47,98.46
20230302,110107,66844,66415,67723,99.78,97.82,96.13
20230303,84169,65741,65063,66416,98.86,99.44,99.22
20230306,91874,66290,65757,67058,99.98,98.84,97.46
20230307,79524,65924,65297,66623,98.98,99.39,98.6
20230308,172594,66177,65618,66923,98.35,94.84,93.26
20230309,115872,63829,62675,64101,99.95,99.07,98.09
20230310,90882,64203,63170,64513,97.93,96.78,96.61
20230313,102724,63551,62376,63722,98.48,96.9,96.05
20230314,142129,62965,61641,63012,97.95,96.92,96.02
20230315,90247,62532,61082,62474,97.99,97.34,95.0
20230316,86150,62091,60552,61931,96.34,94.88,95.03
20230317,116723,61403,59705,61078,99.04,99.15,98.51
20230320,71964,63604,62448,63744,99.54,97.63,95.84
20230321,41428,63391,62184,63530,98.41,97.89,95.85
20230322,72765,63124,61864,63186,98.19,98.25,97.43
20230323,75904,63386,62178,63500,97.27,96.89,97.08
20230324,54983,63143,61878,63211,98.16,97.89,96.55
20230327,103684,62807,61465,62804,99.22,98.07,99.51
20230328,90091,63869,62777,64093,98.46,97.59,96.29
20230329,97282,63468,62269,63622,98.45,97.25,95.19
20230330,148175,62822,61461,62833,98.93,98.58,98.82
20230331,128563,63830,62703,64046,99.64,98.54,98.82
20230403,104196,64473,63502,64833,99.26,97.41,95.6
20230404,131232,63708,62558,63924,99.23,98.11,99.81
20230405,119627,64701,63792,65111,99.54,98.58,97.78
20230406,120603,64747,63840,65185,99.31,98.34,96.37
20230407,81564,64396,63403,64764,99.07,98.23,96.54
20230410,92102,64061,63007,64342,99.28,97.55,98.51
20230411,368294,64290,63297,64614,92.37,99.53,93.37
20230412,236709,68607,68486,69861,95.82,99.98,99.52
20230413,525891,69638,69532,71009,91.39,99.9,93.19
20230414,254555,74944,74035,76437,97.33,98.85,99.42
20230417,175069,75372,74310,76770,99.04,98.34,95.12
20230418,177203,72598,71964,73972,98.24,99.35,96.69
20230419,119149,71171,70783,72538,98.57,99.31,97.11
20230420,102366,70046,69831,71377,98.24,99.9,98.18
20230421,90835,69712,69550,71027,98.88,99.35,97.51
20230424,79756,68802,68794,70116,97.45,99.7,98.68
20230425,140116,68978,68934,70278,96.34,99.62,99.17
20230426,106960,69713,69561,71039,97.5,98.0,99.66
20230427,157856,69940,69723,71234,98.51,95.78,94.78
20230428,112075,67523,67233,68616,97.16,99.46,99.44
20230502,80396,68697,68681,69980,99.27,97.8,98.58
20230503,60623,68253,68160,69457,99.49,99.17,98.31
20230504,236658,67748,67543,68843,92.93,99.77,94.43
20230508,140906,71881,71369,73205,99.01,98.19,96.02
20230509,121026,69588,69459,70946,96.38,98.8,99.5
